PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1018633,Alberto Lovera,Natural Gas,300,,OCGT,,,,1766,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018634,Alfredo Salazar (Anaco),Natural Gas,300,,OCGT,,,,851,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018635,Antonio Jose de Sucre (Macagua),Hydro,"2,930",,Dam With Resevoir,,,,"15,681",,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018636,Antonio Nicolas Briceno,Natural Gas,103,,OCGT,,,,261,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018637,Argimiro Gabaldon,Natural Gas,120,,OCGT,,,,533,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018638,Bajo Grande,Natural Gas,90,,OCGT,,,,75,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018639,Barcazas Josefa Rufina y Margarita,Natural Gas,340,,OCGT,,,,774,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018640,Casigua,Natural Gas,83,,OCGT,,,,307,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018641,Dabajuro,Natural Gas,20,,OCGT,,,,63,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018642,El Sitio,Natural Gas,360,,OCGT,,,,131,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018643,Enelbar,Natural Gas,130,,OCGT,,,,444,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018644,Falcon,Wind,28,,Wind Turbine,,,,,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018645,Fransisco de Miranda (Caruachi),Hydro,"2,196",,Dam With Resevoir,,,,"12,902",,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
1018646,Guanta,Natural Gas,174,,OCGT,,,,653,,Venezuela Electricity Sector,http://www.mppee.gob.ve/download/anuario_estad%C3%ADstico/Anuario_2013.pdf,,,,,,,,Venezuela,,,,,,,,,,,
