PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1001518,Son La,Hydro,"2,400",,Dam,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001519,Hoa Binh,Hydro,"1,920",,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001520,Thac Ba,Hydro,120,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001521,Tuyen Quang,Hydro,342,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001522,Ban Chat,Hydro,220,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001523,Quang Tri,Hydro,64,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001524,Vinh Son,Hydro,66,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001525,Song Hinh,Hydro,70,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001526,IaIy,Hydro,720,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001527,Se San 3,Hydro,260,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001528,Pleikrong,Hydro,100,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001529,Tri An,Hydro,400,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001530,Thac MO,Hydro,150,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001531,Da Nhim+Song Pha,Hydro,168,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001532,Ham Thuan,Hydro,300,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001533,Da Mi,Hydro,175,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
1001534,Dai Ninh,Hydro,300,,,,,Vietnam Electricity (VTN),,,Vietnam Electricity (VTN),http://www.evn.com.vn/UserFile/User/tcdl/BCTN%202015_Fi_Final.pdf,,,,,,,,Vietnam,,,,,,,,,,,
