PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000020,Itezhi- Tezhi,Hydro,120,Kafue River,Dam with Reservoir,1978,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,Operating,Zambia,Southern Africa Grid,,,,,,,,,,
1000021,Kariba,Hydro,930,Zambezi River,Dam with Reservoir,1959-2013,,ZESCO,6161,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,Operating,Zambia,Southern Africa Grid,,,,,,,,,,
1000022,Kafue Gorge,Hydro,990,,Dam with Reservoir,1971,,ZESCO,6666,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,Operating,Zambia,Southern Africa Grid,,,,,,,,,,
1000023,Lusiwasi,Hydro,12,,Dam with Reservoir,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,Operating,Zambia,Southern Africa Grid,,,,,,,,,,
1000024,Mulingushi,Hydro,40,Mulingushi River,Dam with Reservoir,1925,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,Operating,Zambia,Southern Africa Grid,,,,,,,,,,
1022384,Nkana,Diesel,20,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-12.8166667,28.2,,,,,,,,
1022385,Lusaka,Diesel,15,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-15.4329996,28.3330002,,,,,,,,
1022386,Ndola,Heavy Fuel Oil,50,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-12.9666667,28.6333333,,,,,,,,
1022387,Bancroft Copperbelt,Diesel,20,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-12.378596,27.83168,,,,,,,,
1022388,Luano,Diesel,40,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-11.5666667,24.1333333,,,,,,,,
1022389,Luanshya Nchanga,Diesel,14.6,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-13.1333333,28.4,,,,,,,,
1022390,Mufulira Nchanga,Diesel,10,,,,,ZESCO,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-12.55,28.2333333,,,,,,,,
1022375,Nakambala Sugar,Biomass,12.237,,,,,Zambia Sugar,,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-15.8333333,27.7666667,,,,,,,,
1022376,Maamba,Coal,300,,,,,Maamba Collieries Limited,,,Nava Bharat,http://www.nbventures.com/power.htm,,,,,,,,Zambia,,-17.3527223,27.1859398,,,,,,,,
1022380,Victoria Falls,Hydro,108,,,,,ZESCO,811,,Energy Regulation Board of Zambia,http://www.erb.org.zm/reports/EnergySectorReport2014.pdf,,,,,,,,Zambia,,-17.9166667,25.85,,,,,,,,
