Combustible,gid,Nombre Central,Latitud,Longitud,Added
,,Abanico,-37.36455264,-71.48939449,
TERMO,1,AGUAS BLANCAS,-24.13546784,-69.86490922,
,,Alfalfal,-33.50124402,-70.19265173,
,,AllipÌ©n,-38.9987486,-72.2229575,
EOLICA,1,ALTO BAGUALES,,,Y
,,Alto Renaico,-37.80015549,-72.40359824,
,,AncalÌ_ 1,-37.589507,-72.300541,
,,Angol (Los Sauces),-37.96584609,-72.82686701,
,,Angostura,-37.71026186,-71.81685945,
,,Antilhue TG,-39.80087119,-73.18517656,
,,Antuco,-37.31032199,-71.62641624,
,,Arauco,-37.20919683,-73.2221787,
TERMO,2,ATACAMA (CC1-CC2),-23.0897543,-70.41679013,
,,Auxiliar del Maipo (Caemsa),-33.64268685,-70.63310057,
,,Bio Cruz,-32.848907,-71.226717,
,,Biomar,-41.78201424,-73.43191177,
,,Blanco,-32.91704706,-70.32888999,
,,Bocamina,-37.02147795,-73.16731188,
,,Bocamina II,-37.02147795,-73.16731188,
,,Boquiamargo,-37.86764494,-71.61376905,
EOLICA,2,"CABO NEGRO, FASE I",,,Y
,,CaÌ±ete,-37.73083559,-73.38275025,
,,Callao,-40.88784517,-72.33820219,
,,Calle Calle,-39.79992119,-73.18907212,
,,Campiche,-32.74829371,-71.48329651,
,,Candelaria,-34.03386202,-70.61380879,
EOLICA,3,Canela,-31.2883408,-71.60234,
EOLICA,4,Canela II,-31.31359879,-71.60114389,
,,Canutillar,-41.52805122,-72.34165779,
,,Capullo,-40.81919145,-72.39994075,
,,Cardones,-27.48759764,-70.38643621,
,,Carena,-33.52856916,-70.9528027,
,,Casablanca 1,-33.32625634,-71.39226865,
,,Casablanca 2,-33.32625634,-71.39226865,
,,CBB-Centro,-34.86664515,-71.14318291,
,,Celco,-35.32615156,-72.41634576,
,,Cenizas,-27.48094828,-70.3897434,
TERMO,3,CENTRAL TERMOELECTRICA ANDINA (CTA),,,Y
,,Chacabuquito,-32.85348031,-70.50613843,
,,Chacayes,-34.27555822,-70.45226667,
,,ChaÌ±ares,-26.37476492,-70.06566161,
,,CHAPIQUIÌÔA,-18.36950662,-69.54689817,
,,Chiburgo,-35.66145511,-71.35506191,
,,ChiloÌ©,-43.09138349,-73.61552065,
,,CholguÌÁn,-37.16487933,-72.06741925,
,,Chufken (TraiguÌ©n),-38.26240165,-72.6164875,
,,Chuyaca,-40.57864546,-73.08841264,
,,Cipreses,-35.78721821,-70.8083704,
,,CMPC PacÌ_fico,-37.79171097,-72.48416667,
,,CMPC Santa Fe,-37.51509168,-72.65651665,
,,CMPC_Laja,-37.28952765,-72.71138889,
,,Coelemu,-36.51080611,-72.73692433,
,,ColbÌ_n,-35.68534022,-71.36985106,
,,Colihues,-34.24251459,-70.67436179,
,,Collil,-42.59760257,-73.95797845,
,,Colmito,-32.93036905,-71.47402393,
,,ConCÌ_n,-32.93311653,-71.47422866,
,,ConstituciÌ_n 1,-35.36039467,-72.40686305,
,,Contra,-40.297515,-72.833332,
,,Contulmo,-38.03412712,-73.22334221,
,,Coronel,-36.96756057,-73.16858138,
,,Coya,-34.20492211,-70.52570555,
,,CuracautÌ_n,-38.45282198,-71.81944106,
,,Curauma,-33.12913952,-71.55696002,
,,Curileufu,-40.39145361,-72.53987372,
,,Curillinque,-35.80511259,-70.94108214,
,,D.de Almagro,-26.39843708,-70.03867643,
,,Danisco,-41.78211431,-73.44633347,
,,DegaÌ±,-42.14817266,-73.71554123,
TERMO,,DIESEL ARICA (GMAR_M1AR)),-18.52865218,-70.29893896,
,,DIESEL ARICA (M2AR),-18.53352988,-70.28814552,
TERMO,4,DIESEL ENAEX (CUMMINS-DEUTZ),-23.09697359,-70.43190104,
,,DIESEL IQUIQUE (MAIQ),-20.25796304,-70.12732871,
,,DIESEL IQUIQUE (MIIQ),-20.25796304,-70.12732871,
TERMO,19,DIESEL IQUIQUE (MSIQ_TGIQ)),-20.25796304,-70.12732871,
,,DIESEL IQUIQUE (SUIQ),-20.25796304,-70.12732871,
TERMO,5,DIESEL TAMAYA (SUTA),-22.15909917,-70.08941162,
TERMO,6,DIESEL ZOFRI (ZOFRI 1-6_ZOFRI 1-5),-20.2061964,-70.12943439,
,,DoÌ±a Hilda,-40.3328889,-72.00594803,
,,Don Walterio,-40.55676309,-72.51586656,
,,Dongo,-42.567774,-73.894484,
,,Donguil,-39.12011097,-72.67428716,
,,Eagon,-38.53771816,-72.46082852,
EOLICA,7,EÌ_lica Cuel,-37.51072425,-72.49370801,
