NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
50.4 MW Tata Wind Farm - in Maharashtra,CDMDB0002819,50.4,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,19.1381,74.831,Wind
5 MW renewable energy project for a grid system' at Rohru Tehsil  Shimla District in Himachal  India,CDMDB0001363,5.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,30.45,78.19,Hydro
Guodian Ningxia Qingtongxia Niushoushan Phase I 49.5MW Wind-farm project,CDMDB0005315,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.7483,106.013,Wind
Huaneng Shanxi Tianzhen Phase I Wind Power Project,CDMDB0005314,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,40.22486,114.19606,Wind
Biomass generation project  in Sheyang county  Jiangsu province  P.R. China,CDMDB0001366,25.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Biomass
China Changniping Hydropower Project,CDMDB0001367,20.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,27.123,109.503,Hydro
Inner Mongolia Shangdu Changshengliang Wind Farm Project,CDMDB0005311,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,41.4645,113.5807,Wind
China Guanmenyan Hydropower Project,CDMDB0001365,33.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,29.3132,110.4816,Hydro
Inner Mongolia Chifeng Yihegong Windfarm Project,CDMDB0002811,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,42.7405,118.4533,Wind
Ningxia Yanchi Qingshan Wind power Guodian Phase I 49.5MW Project,CDMDB0005868,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.54167,107.22139,Wind
Guangdong Xinyi Qianpai Wind Power Project,CDMDB0006844,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,22.3308,111.2414,Wind
Gansu Shulehe Qingyanggou Hydropower Station Project,CDMDB0006517,51.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Yunnan Yingjiang Binglangjiang Shizishan Hydropower Station Project,CDMDB0002815,24.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Shandong Rushan Luneng Wind Farm,CDMDB0002814,42.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,36.7336,121.5197,Wind
Liaoning Changtu Shihu Wind Power Project,CDMDB0002817,49.3,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,42.867,124.217,Wind
Ningxia Tongxin Windfarm Jiaze Tianjialing 49.5MW Wind Power Project,CDMDB0006513,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.2978,105.8683,Wind
Grid Connected Bundled Wind Power Project in Jaisalmer  Rajasthan  India,CDMDB0005646,9.6,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Thuong Kon Tum Hydropower Project,CDMDB0006688,220.0,None,None,None,Vietnam,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
Jiangsu Dafeng 20MW Solar Power Project,CDMDB0006689,20.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,33.1239,120.8236,Solar
Jianping Wanjiayingzi Wind Farm Project,CDMDB0007863,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,42.1233,119.609,Wind
Huaneng Shuangyang Biomass Power Plant Project,CDMDB0006684,30.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,43.5592,125.6392,Biomass
