NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Cogeneration-Kraftwerke Management O….,EPRTR0001921,,,Austria,,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.966667,13.816667,,,,,,,,,
Cogeneration-Kraftwerke Management O….,EPRTR0010705,,,Austria,,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.966667,13.816667,,,,,,,,,
Dampfkraftwerk DŸrnrohr  Block 1,EPRTR0001954,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,48.3,15.883333,,,,,,,,,
Dampfkraftwerk DŸrnrohr  Block 1,EPRTR0010739,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,48.3,15.883333,,,,,,,,,
Dampfkraftwerk Neudorf/Werndorf II,EPRTR0010708,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,46.916667,15.483333,,,,,,,,,
Dampfkraftwerk Neudorf/Werndorf II,EPRTR0001924,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,46.916667,15.483333,,,,,,,,,
Dampfkraftwerk St. AndrŠ,EPRTR0001953,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,46.75,14.816667,,,,,,,,,
Dampfkraftwerk Voitsberg,EPRTR0001955,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.033333,15.15,,,,,,,,,
Dampfkraftwerk Voitsberg,EPRTR0010740,,,Austria,Verbund-Austrian Thermal Power GmbH & Co KG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.033333,15.15,,,,,,,,,
EEVG,EPRTR0001931,,,Austria,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.983333,13.816667,,,,,,,,,
EEVG,EPRTR0010716,,,Austria,UPM Kymmene Austria GmbH/SCA- Graphic-Laakirchen,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.983333,13.816667,,,,,,,,,
Energiepark Donawitz GmbH & CoKG,EPRTR0001864,,,Austria,STEWEAG-STEG GmbH,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,47.366667,15.083333,,,,,,,,,
Fernheizkraftwerk Klagenfurt Pischeldorfer Stra§e 21,EPRTR0001876,,,Austria,Stadtwerke Klagenfurt AG,European Pollutant Release and Transfer Register,http://prtr.ec.europa.eu/,46.616667,14.316667,,,,,,,,,
