NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG0000231,479.2,2015,Argentina,CAPEX SA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-38.936812,-68.355579,1997.4,Other,Gas,,,,,,2528.183,,
AGUA DEL CAJON (GENERADOR DEL MEM),ARG0000232,192.0,2015,Argentina,,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-38.936812,-68.355579,1993.5,Gas,,,,,,,910.58,,
AGUA DEL TORO,ARG0000210,130.0,2015,Argentina,HIDISA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-34.5791666,-68.989166,1982,Hydro,,,,,,,188.01381,,
AGUA ESCONDIDA,ARG0000204,0.0,2015,Argentina,EDEMSA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-36.155,-68.30194444,,Oil,,,,,,,0.0,,
ALGARROBO DEL AGUILA,ARG0000171,0.14,2015,Argentina,APE,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-36.3991666,-67.14611111,,Oil,,,,,,,0.0,,
ALICURA,ARG0000230,1050.0,2015,Argentina,AES ARGENTINA GENERACION S.A.,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-40.580044,-70.748858,1987,Hydro,,,,,,,1934.053,,
ALMIRANTE BROWN,ARG0000156,25.0,2015,Argentina,C.T. ALMIRANTE BROWN SA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-34.838611,-58.4033,,Oil,,,,,,,17.587,,
ALPA CORRAL,ARG0000084,0.32,2015,Argentina,COOPERATIVA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,,,,Oil,,,,,,,0.0,,
ALTO VALLE,ARG0000235,25.0,2015,Argentina,CT ALTO VALLE SA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-38.95243,-68.02176,1969,Gas,,,,,,,11.420100000000001,,
ALTO VALLE,ARG0000237,15.0,2015,Argentina,,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,-38.95243,-68.02176,1969,Gas,,,,,,,185.94520000000003,,
