NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
Adelaide Airport,AUS0000433,0.11,2012,Australia,Adelaide Airport Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.93867455299994,138.5376555360001,,Solar,,,,,,,,,
Adelaide Showgrounds,AUS0000432,1.0,2012,Australia,Adelaide Showgrounds,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.94528525499993,138.58819351300008,,Solar,,,,,,,,,
Albany Wind Farm,AUS0000065,21.6,2012,Australia,Verve Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-35.064146999999934,117.79769500000009,,Wind,,,,,,,,,
Alice Springs Airport,AUS0000469,0.24,2014,Australia,Alice Springs Airport,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-23.796569829999953,133.89712081200003,,Solar,,,,,,,,,
Amcor Gawler,AUS0000231,4.0,2012,Australia,Energy Response,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.55085699999995,138.76586400000008,,Oil,,,,,,,,,
Angaston,AUS0000232,50.0,2012,Australia,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.50347999999997,139.024537,,Oil,,,,,,,,,
Anglesea,AUS0000114,150.0,2012,Australia,Alcoa of Australia Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-38.38605599999994,144.18278900000007,,Coal,,,,,,,,,
Appin (Mine),AUS0000264,59.7,2012,Australia,Energy Developments CSM (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.20818499999996,150.77218100000005,,Gas,,,,,,,,,
Ardyaloon,AUS0000379,0.8,2012,Australia,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-16.44441722099998,123.04137384300009,,Oil,,,,,,,,,
Argyle Diamond Mine,AUS0000220,32.0,2012,Australia,Rio Tinto - Argyle Diamond Mines,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-16.716156999999953,128.40308000000005,,Oil,,,,,,,,,
Awaba,AUS0000049,1.1,2012,Australia,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-33.02502999999996,151.5497190000001,,Waste,,,,,,,,,
Bairnsdale,AUS0000081,94.0,2012,Australia,Alinta DEBO,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.842858999999976,147.56393000000003,,Gas,,,,,,,,,
Ballarat Base Hospital,AUS0000113,2.0,2012,Australia,Ballarat Base Hospital,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.55960699999997,143.84691800000007,,Gas,,,,,,,,,
Ballarat Solar Park,AUS0000472,0.3,2014,Australia,Central Victoria Solar City Consortium,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.51437136499993,143.78547291200005,,Solar,,,,,,,,,
Bamarang,AUS0000397,320.0,2012,Australia,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.902981058999956,150.52582206400007,,Gas,,,,,,,,,
Bango Wind Farm,AUS0000398,200.0,2012,Australia,Bango Wind Farm Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.60577781699993,148.86955733900004,,Wind,,,,,,,,,
Banimboola,AUS0000014,12.5,2012,Australia,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-36.534208999999976,147.45942600000012,,Hydro,,,,,,,,,
