NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
14 de Julho,BRA0000114,100.0,,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-29.064753,-51.674942,,Hydro,,,,,,,,
29 de Outubro,BRA0040491,0.062,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-26.481946,-49.076673,,Oil,,,,,,,,
300KVA Scania,BRA0041311,0.24,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-21.777436,-46.596899,,Oil,,,,,,,,
3M Itapetininga,BRA0040492,3.84,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-23.592721,-48.090051,,Oil,,,,,,,,
3M Ribeirão Preto,BRA0040493,2.7,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-21.262896,-47.802862,,Oil,,,,,,,,
3M Sumaré,BRA0042589,6.4,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-22.815224,-47.178121,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Amapá,BRA0040404,0.28800000000000003,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-10.007806,-67.801811,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Aviário,BRA0040405,0.272,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.968567,-67.802633,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Bosque,BRA0040388,0.272,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.964575,-67.820717,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Chico Mendes,BRA0040389,0.272,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.982547,-67.806672,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Mix,BRA0040390,0.8,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.962153,-67.847256,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação PVH,BRA0041749,0.6,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-8.766414,-63.884125,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Rio de Janeiro,BRA0040391,0.4,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.973128,-67.826394,,Oil,,,,,,,,
A.C.D.A. Importação e Exportação Varejão,BRA0042327,0.0768,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.974214,-67.803247,,Oil,,,,,,,,
ABC,BRA0042146,0.184,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-20.74582,-44.726515,,Oil,,,,,,,,
ABC,BRA0040941,0.4,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-20.11973,-44.921225,,Oil,,,,,,,,
ACDA,BRA0041832,0.6940000000000001,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-9.963232,-67.791368,,Oil,,,,,,,,
ADAS - Hospital e Maternidade São Domingos,BRA0040753,0.44,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-19.818846,-47.923115,,Oil,,,,,,,,
AJ Rorato,BRA0041203,2.19,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-23.927676,-52.486923,,Oil,,,,,,,,
AMBEV - João Pessoa,BRA0042908,1.35,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-7.11101,-34.85359,,Oil,,,,,,,,
ARS,BRA0010895,6.66,,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-13.099167,-54.818889,,Hydro,,,,,,,,
ART CI,BRA0042596,0.073,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-23.610501,-46.495282,,Oil,,,,,,,,
AVG I-II,BRA0040766,4.8,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-19.463179,-44.287062,,Coal,,,,,,,,
Abaeté,BRA0020107,0.516,,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-19.2105,-46.108306,,Hydro,,,,,,,,
Abatedouro São Salvador,BRA0042590,3.688,2015.0,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-16.004421,-49.786712,,Oil,,,,,,,,
Abaúna,BRA0020108,0.72,,Brazil,,,http://sigel.aneel.gov.br/kmz.html,-27.823056,-52.069,,Hydro,,,,,,,,
