NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ARUBA REFINERY,CARMA0002172,,,ABW,,CARMA,http://carma.org/,12.4333333,-69.9,,,,,,,,,,,
BALASHI,CARMA0002985,,,ABW,,CARMA,http://carma.org/,12.4833333,-69.9666667,,,,,,,,,,,
ASSADABAD,CARMA0002356,,,AFG,,CARMA,http://carma.org/,34.873113,71.14697,,,,,,,,,,,
BABA-WALI,CARMA0054319,,,AFG,,CARMA,http://carma.org/,31.609258,64.977296,,,,,,,,,,,
BAGHDIS,CARMA0002845,,,AFG,,CARMA,http://carma.org/,34.987351,63.128911,,,,,,,,,,,
BAHARAK,CARMA0002870,,,AFG,,CARMA,http://carma.org/,36.9833333,70.8833333,,,,,,,,,,,
BAMYAN,CARMA0003094,,,AFG,,CARMA,http://carma.org/,34.824167,67.821667,,,,,,,,,,,
CHAKHCHRAN,CARMA0007797,,,AFG,,CARMA,http://carma.org/,34.519516,65.250935,,,,,,,,,,,
CHAKI-VARDACK,CARMA0007798,,,AFG,,CARMA,http://carma.org/,34.107686,68.578664,,,,,,,,,,,
CHALWARCHA,CARMA0007825,,,AFG,,CARMA,http://carma.org/,34.301566,62.2465,,,,,,,,,,,
CHARIKAR,CARMA0007980,,,AFG,,CARMA,http://carma.org/,35.013611,69.171389,,,,,,,,,,,
DARUNTA,CARMA0010265,,,AFG,,CARMA,http://carma.org/,34.426468,70.45153,,,,,,,,,,,
FAIZABAD,CARMA0013058,,,AFG,,CARMA,http://carma.org/,37.116638,70.580022,,,,,,,,,,,
GARDEZ,CARMA0063533,,,AFG,,CARMA,http://carma.org/,33.597439,69.225922,,,,,,,,,,,
GHAZNI,CARMA0015037,,,AFG,,CARMA,http://carma.org/,33.5535554,68.4268856,,,,,,,,,,,
GHORBAND,CARMA0015049,,,AFG,,CARMA,http://carma.org/,34.986389,68.708333,,,,,,,,,,,
HERAT,CARMA0017515,,,AFG,,CARMA,http://carma.org/,34.348167,62.199673,,,,,,,,,,,
ISTALIF,CARMA0019707,,,AFG,,CARMA,http://carma.org/,34.832676,69.077557,,,,,,,,,,,
KABUL,CARMA0020715,,,AFG,,CARMA,http://carma.org/,34.5281264,69.17232513,,,,,,,,,,,
KABUL NORTHWEST,CARMA0020716,,,AFG,,CARMA,http://carma.org/,34.573635,69.135037,,,,,,,,,,,
KABUL UNICEF,CARMA0057652,,,AFG,,CARMA,http://carma.org/,34.5281264,69.17232513,,,,,,,,,,,
KABUL WHO,CARMA0057653,,,AFG,,CARMA,http://carma.org/,34.5281264,69.17232513,,,,,,,,,,,
KAJAKI,CARMA0020836,,,AFG,,CARMA,http://carma.org/,32.75787,64.548282,,,,,,,,,,,
KANDAHAR,CARMA0021101,,,AFG,,CARMA,http://carma.org/,31.613323,65.710126,,,,,,,,,,,
KANDAHAR AIRFIELD,CARMA0057651,,,AFG,,CARMA,http://carma.org/,31.613323,65.710126,,,,,,,,,,,
KHOJA GOGIRDAK FIELD,CARMA0022003,,,AFG,,CARMA,http://carma.org/,36.661269,65.934503,,,,,,,,,,,
KHULM,CARMA0057690,,,AFG,,CARMA,http://carma.org/,36.697362,67.698255,,,,,,,,,,,
KMTC CENTRAL PLANT,CARMA0057654,,,AFG,,CARMA,http://carma.org/,34.5281264,69.17232513,,,,,,,,,,,
KODE BARQ FACTORY,CARMA0027689,,,AFG,,CARMA,http://carma.org/,36.709041,67.110866,,,,,,,,,,,
LASHKAR-GAH,CARMA0024586,,,AFG,,CARMA,http://carma.org/,31.593817,64.371614,,,,,,,,,,,
MAHIPAR,CARMA0026628,,,AFG,,CARMA,http://carma.org/,34.65,69.7,,,,,,,,,,,
MAIMANA,CARMA0056178,,,AFG,,CARMA,http://carma.org/,35.921389,64.783611,,,,,,,,,,,
MUSA QALA,CARMA0063534,,,AFG,,CARMA,http://carma.org/,32.445653,64.744862,,,,,,,,,,,
NAGHLU,CARMA0030184,,,AFG,,CARMA,http://carma.org/,34.6333333,69.7208333,,,,,,,,,,,
NATIONAL SECURITY UNION,CARMA0057650,,,AFG,,CARMA,http://carma.org/,34.5281264,69.17232513,,,,,,,,,,,
POL-E KHUMRI-1,CARMA0036014,,,AFG,,CARMA,http://carma.org/,35.944583,68.715122,,,,,,,,,,,
POL-E KHUMRI-2,CARMA0036015,,,AFG,,CARMA,http://carma.org/,35.944583,68.715122,,,,,,,,,,,
POL-E'ALAM,CARMA0054804,,,AFG,,CARMA,http://carma.org/,33.995289,69.02274,,,,,,,,,,,
QALAT,CARMA0036167,,,AFG,,CARMA,http://carma.org/,32.10575,66.908332,,,,,,,,,,,
RAYN,CARMA0036800,,,AFG,,CARMA,http://carma.org/,34.671389,70.209444,,,,,,,,,,,
SAMANGHAN,CARMA0057689,,,AFG,,CARMA,http://carma.org/,36.26468,68.015512,,,,,,,,,,,
SAMEDA,CARMA0057693,,,AFG,,CARMA,http://carma.org/,35.240111,69.154619,,,,,,,,,,,
SAROBI-1,CARMA0039867,,,AFG,,CARMA,http://carma.org/,34.589615,69.760047,,,,,,,,,,,
TAKAKHIL,CARMA0063532,,,AFG,,CARMA,http://carma.org/,34.579363,69.255239,,,,,,,,,,,
TALOQAN,CARMA0057688,,,AFG,,CARMA,http://carma.org/,36.73605111,69.53450918,,,,,,,,,,,
WARDUJ,CARMA0057691,,,AFG,,CARMA,http://carma.org/,37.026433,70.786352,,,,,,,,,,,
ZARANJ,CARMA0031256,,,AFG,,CARMA,http://carma.org/,30.966667,61.883333,,,,,,,,,,,
BENFICA,CARMA0018637,,,AGO,,CARMA,http://carma.org/,-12.7761111,15.7391667,,,,,,,,,,,
BENGUELA,CARMA0004026,,,AGO,,CARMA,http://carma.org/,-12.57626123,13.40546608,,,,,,,,,,,
BIOPIO,CARMA0004687,,,AGO,,CARMA,http://carma.org/,-12.3480556,13.5455556,,,,,,,,,,,
CAALA,CARMA0059240,,,AGO,,CARMA,http://carma.org/,-12.8525,15.5605556,,,,,,,,,,,
CABINDA,CARMA0006518,,,AGO,,CARMA,http://carma.org/,-5.55,12.2,,,,,,,,,,,
CACONGO,CARMA0006571,,,AGO,,CARMA,http://carma.org/,-5.2333333,12.1333333,,,,,,,,,,,
CAMBAMBE,CARMA0006780,,,AGO,,CARMA,http://carma.org/,-11.001798,14.559131,,,,,,,,,,,
CAPANDA,CARMA0007009,,,AGO,,CARMA,http://carma.org/,-9.540150495,16.34096146,,,,,,,,,,,
CAVACO,CARMA0059239,,,AGO,,CARMA,http://carma.org/,-12.5644444,13.4425,,,,,,,,,,,
CAXITO,CARMA0007478,,,AGO,,CARMA,http://carma.org/,-8.57847511,13.66424561,,,,,,,,,,,
CAZENGA,CARMA0007495,,,AGO,,CARMA,http://carma.org/,-8.824879,13.31318,,,,,,,,,,,
CHICAPA,CARMA0008306,,,AGO,,CARMA,http://carma.org/,-8.811738,13.21608,,,,,,,,,,,
CONGOLENSES,CARMA0059236,,,AGO,,CARMA,http://carma.org/,-8.836816876,13.23431969,,,,,,,,,,,
CUANDO-I,CARMA0023191,,,AGO,,CARMA,http://carma.org/,-12.7761111,15.7391667,,,,,,,,,,,
CUANDO-II,CARMA0023192,,,AGO,,CARMA,http://carma.org/,-12.7761111,15.7391667,,,,,,,,,,,
CUBAL CHIMBASSI,CARMA0009790,,,AGO,,CARMA,http://carma.org/,-13.0333333,14.25,,,,,,,,,,,
CUCHI MISSION,CARMA0009794,,,AGO,,CARMA,http://carma.org/,-14.653593,16.894248,,,,,,,,,,,
CUEMBA,CARMA0009806,,,AGO,,CARMA,http://carma.org/,-12.15,18.0833333,,,,,,,,,,,
FAZENDA DA BONGA,CARMA0012989,,,AGO,,CARMA,http://carma.org/,-12.2666667,15.6333333,,,,,,,,,,,
GABELA,CARMA0014423,,,AGO,,CARMA,http://carma.org/,-10.85147,14.379927,,,,,,,,,,,
GANDA BENGUELA,CARMA0059234,,,AGO,,CARMA,http://carma.org/,-13.0166667,14.6333333,,,,,,,,,,,
GANGEASL DAM,CARMA0014566,,,AGO,,CARMA,http://carma.org/,-15.1833333,13.7,,,,,,,,,,,
GOMES DA GRACA,CARMA0015440,,,AGO,,CARMA,http://carma.org/,-8.836816876,13.23431969,,,,,,,,,,,
KUITO,CARMA0023245,,,AGO,,CARMA,http://carma.org/,-12.3833333,16.9333333,,,,,,,,,,,
LOBITO,CARMA0025551,,,AGO,,CARMA,http://carma.org/,-12.3480556,13.5455556,,,,,,,,,,,
LOBITO AURORA,CARMA0025552,,,AGO,,CARMA,http://carma.org/,-12.3480556,13.5455556,,,,,,,,,,,
LOBITO ISABEL,CARMA0025553,,,AGO,,CARMA,http://carma.org/,-12.3480556,13.5455556,,,,,,,,,,,
LUANDA REFINERY,CARMA0026045,,,AGO,,CARMA,http://carma.org/,-8.836816876,13.23431969,,,,,,,,,,,
LUBANGO,CARMA0026054,,,AGO,,CARMA,http://carma.org/,-14.91716826,13.4924984,,,,,,,,,,,
LUENA,CARMA0026126,,,AGO,,CARMA,http://carma.org/,-11.7833333,19.9166667,,,,,,,,,,,
LUQUIXE,CARMA0026253,,,AGO,,CARMA,http://carma.org/,-7.75,15.0,,,,,,,,,,,
MALANJE,CARMA0026763,,,AGO,,CARMA,http://carma.org/,-9.540150495,16.34096146,,,,,,,,,,,
MALONGO TERMINAL,CARMA0026830,,,AGO,,CARMA,http://carma.org/,-5.55,12.2,,,,,,,,,,,
MALONGO WAKESHA,CARMA0026829,,,AGO,,CARMA,http://carma.org/,-5.55,12.2,,,,,,,,,,,
MATALA,CARMA0027506,,,AGO,,CARMA,http://carma.org/,-14.736889,15.031418,,,,,,,,,,,
MATOS VAZ,CARMA0027605,,,AGO,,CARMA,http://carma.org/,-8.4666667,15.2166667,,,,,,,,,,,
MOMBOLO HUTTER,CARMA0029026,,,AGO,,CARMA,http://carma.org/,-12.6788889,13.2913889,,,,,,,,,,,
NAMIBE,CARMA0059241,,,AGO,,CARMA,http://carma.org/,-15.1961111,12.1522222,,,,,,,,,,,
NDALATANDO,CARMA0030697,,,AGO,,CARMA,http://carma.org/,-9.297815075,14.911623,,,,,,,,,,,
NOVA LISBOA MARSCHALL,CARMA0031756,,,AGO,,CARMA,http://carma.org/,-12.7761111,15.7391667,,,,,,,,,,,
NOVA LISBOA VALE QUEVE,CARMA0031757,,,AGO,,CARMA,http://carma.org/,-12.7761111,15.7391667,,,,,,,,,,,
PESKWANZA,CARMA0034314,,,AGO,,CARMA,http://carma.org/,-10.731415,13.759851,,,,,,,,,,,
