NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
ABANICO,CHL0001001,136.0,2016,Chile,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.36455264,-71.48939449,,Hydro,,,,,,,,
AGUAS BLANCAS,CHL0000001,2.0,2016,Chile,INGENOVA,Energía Abierta,http://energiaabierta.cl/electricidad/,-24.13546784,-69.86490922,,Oil,,,,,,,,
ALFALFAL,CHL0001002,178.0,2016,Chile,AES GENER S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.50124402,-70.19265173,,Hydro,,,,,,,,
ALLIPEN,CHL0001003,3.0,2016,Chile,HIDROELECTRICA ALLIPEN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-38.9987486,-72.2229575,,Hydro,,,,,,,,
ALTO BAGUALES,CHL0002001,1.98,2016,Chile,EMPRESA ELECTRICA DE AYSEN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-45.526034,-72.104646,,Wind,,,,,,,,
ALTO HOSPICIO,CHL0001004,1.0,2016,Chile,ENERNUEVAS S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Hydro,,,,,,,,
ANGOL (LOS SAUCES),CHL0000134,1.5,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.96584609,-72.82686701,,Oil,,,,,,,,
ANGOSTURA,CHL0001005,324.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.71026186,-71.81685945,,Hydro,,,,,,,,
ANTILHUE,CHL0000092,101.3,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-39.80087119,-73.18517656,,Oil,,,,,,,,
ANTUCO,CHL0001006,320.0,2016,Chile,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.31032199,-71.62641624,,Hydro,,,,,,,,
ATACAMA (CC1-CC2),CHL0000002,767.8,2016,Chile,GASATACAMA,Energía Abierta,http://energiaabierta.cl/electricidad/,-23.0897543,-70.41679013,,Gas,,,,,,,,
AUXILIAR DEL MAIPO (CAEMSA),CHL0001007,5.0,2016,Chile,CARBOMET ENERGIA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.64268685,-70.63310057,,Hydro,,,,,,,,
AYSEN,CHL0001008,7.0,2016,Chile,EDELAYSEN,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Hydro,,,,,,,,
AYSEN TERMICO,CHL0000022,1.2,2016,Chile,EDELAYSEN,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Oil,,,,,,,,
Aguas Andinas,CHL0003027,8.23,2016,Chile,AGUAS ANDINAS,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Biomass,,,,,,,,
Arauco,CHL0003002,24.0,2016,Chile,ARAUCO BIOENERGIA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.20919683,-73.2221787,,Biomass,,,,,,,,
Arauco - Constitucion,CHL0003029,22.0,2016,Chile,ARAUCO BIOENERGIA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Biomass,,,,,,,,
Arauco Bioenergia - Mariquina,CHL0003028,61.0,2016,Chile,ARAUCO BIOENERGIA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Biomass,,,,,,,,
BIO CRUZ,CHL0000107,2.8,2016,Chile,BIO CRUZ GENERACION,Energía Abierta,http://energiaabierta.cl/electricidad/,-32.848907,-71.226717,,Oil,Gas,,,,,,,
BIOMAR,CHL0000081,2.4,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-41.78201424,-73.43191177,,Oil,,,,,,,,
BLANCO,CHL0001009,53.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-32.91704706,-70.32888999,,Hydro,,,,,,,,
BOCAMINA (I-II),CHL0000057,478.0,2016,Chile,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.02147795,-73.16731188,,Coal,,,,,,,,
BOQUIAMARGO,CHL0001010,1.0,2016,Chile,ELECTRICA SAN MIGUEL,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.86764494,-71.61376905,,Hydro,,,,,,,,
BUREO,CHL0001011,2.0,2016,Chile,PMGD BIO BIO NEGRETE S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Hydro,,,,,,,,
CABO NEGRO  FASE I,CHL0002002,2.3,2016,Chile,METHANEX CHILE S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Wind,,,,,,,,
CALLAO,CHL0001012,3.0,2016,Chile,HIDROCALLAO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.88784517,-72.33820219,,Hydro,,,,,,,,
CALLE CALLE,CHL0000093,13.0,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-39.79992119,-73.18907212,,Oil,,,,,,,,
CAMPICHE,CHL0000108,248.9888,2016,Chile,EMPRESA ELECTRICA CAMPICHE S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-32.74829371,-71.48329651,,Coal,,,,,,,,
CANDELARIA,CHL0000104,253.9,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-34.03386202,-70.61380879,,Gas,,,,,,,,
CANELA,CHL0002003,18.15,2016,Chile,ENDESAECO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-31.2883408,-71.60234,,Wind,,,,,,,,
CANELA II,CHL0002004,60.0,2016,Chile,ENDESAECO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-31.31359879,-71.60114389,,Wind,,,,,,,,
CANETE,CHL0000058,4.0,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.73083559,-73.38275025,,Oil,,,,,,,,
CANUTILLAR,CHL0001013,172.0,2016,Chile,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-41.52805122,-72.34165779,,Hydro,,,,,,,,
CAPULLO,CHL0001014,12.0,2016,Chile,EMPRESA ELECTRICA CAPULLO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.81919145,-72.39994075,,Hydro,,,,,,,,
