NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
AGARTALA GT,IND0000001,109.5,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2001,Gas,,,,,,,617.789264,
AKALTARA TPP,IND0000002,1200.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Coal,Oil,,,,,,3035.55,
AKRIMOTA LIG,IND0000003,250.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2005,Coal,Oil,,,,,,1153.421,
ALIYAR,IND0000004,60.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1970,Hydro,,,,,,,157.55825,
ALLAIN DUHANGAN,IND0000005,192.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2010,Hydro,,,,,,,674.3910999999999,
ALMATTI DAM,IND0000006,290.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2004,Hydro,,,,,,,480.59495,
AMAR KANTAK,IND0000007,450.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1991,Coal,Oil,,,,,,1887.904,
AMARAVATI TPP,IND0000008,1350.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2014,Coal,Oil,,,,,,1920.971,
ANANDPUR SAHIB ST-I&II,IND0000009,134.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1985,Hydro,,,,,,,614.4125,
"ANAPARA ""C""",IND0000010,1200.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2011,Coal,Oil,,,,,,7744.0,
ANDHRA,IND0000011,16.95,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1986,Hydro,,,,,,,,
