name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude
Aurland2,50WP00000000022P,143.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Valsoyfjord,50WP000000007949,4.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Daja,50WP00000000099R,31.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Kozienice 2,19W000000000104I,1120.0,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
Ortern,50WP00000000843M,12.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
ALBAPOWER SPA,26WIMPI-S01FARR4,49.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
VINADIO,26WIMPI-S01VNDI6,60.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Nea,50WP00000000494L,226.8,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Muoidejohka,50WP00000000476N,4.9,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
PESCINA WIND,26WIMPI-0086935I,16.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
IRNPS,48WSTN0000IRNPS9,1000.0,Other,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
VOGELGRUN,17W100P100P0311S,140.5,Hydro,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
Nordvik,50WP000000005160,5.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
GUADIANA,18WGDNA-12345-00,218.6,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
LE PRATA,26WIMPI-S09LPRTA,20.0,Geothermal,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Lavkajakka,50WP000000004091,8.7,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
AG_DIMITRIOS3,29WAISAGDIMIIIIJ,283.0,Coal,GR,ADMIE,https://transparency.entsoe.eu/api?,0.0,0.0
VOGHERA,26WIMPI-S03VEGHN,381.0,Gas,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
CASTROCUCCO,26WIMPI-S18CSTR3,83.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
KILLPG,48WSTN000KILLPG5,1000.0,Gas,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
TET,28W-G-0000000797,110.0,Coal,SI,Eles,https://transparency.entsoe.eu/api?,0.0,0.0
PKN Orlen,19W0000000002345,345.0,Oil,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
Lundsater,50WP00000000430A,0.8,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
GNF MIÑO,18WUFMI-12345-0L,941.1,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Kalvedal,50WP00000000340B,17.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
LARYW,48WSTN0000LARYWP,720.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
Selbu,50WP000000006124,1.3,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Jaworzno 3,19W0000000000636,1345.0,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
PREDARE,26WIMPI-S08PRDRY,11.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Ovre Svultingen,50WP00000000850P,4.2,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
S.M.GAROÑA,18WGAR1-12345-08,455.2,Nuclear,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
AMBIENTE,26WIMPI-S09AMBNQ,14.0,Biomass,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Kjela,50WP000000003532,61.8,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Uvdal 2,50WP000000007892,44.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
BOURG les VALENCE,17W100P100P0320R,180.0,Hydro,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
Leivdal,50WP000000004164,26.1,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
