NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33.0,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,32.322,65.119,,Hydro,,,,,,,,
Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66.0,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,34.556,69.4787,,Hydro,,,,,,,,
Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100.0,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,34.641,69.717,,Hydro,,,,,,,,
Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,34.4847,70.3633,,Hydro,,,,,,,,
Northwest Kabul Power Plant Afghanistan,GEODB0040540,42.0,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,34.5638,69.1134,,Gas,,,,,,,,
Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6.0,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,35.9416,68.71,,Hydro,,,,,,,,
Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22.0,2017,Afghanistan,,GEO,http://globalenergyobservatory.org,34.5865,69.7757,,Hydro,,,,,,,,
Ashta Hydroelectric Power Plant Albania,GEODB0045871,53.0,2017,Albania,,GEO,http://globalenergyobservatory.org,42.00211,19.60069,,Hydro,,,,,,,,
Bistrice I Hydroelectric Power Station Albania,GEODB0042692,22.5,2017,Albania,,GEO,http://globalenergyobservatory.org,39.91677,20.13748,,Hydro,,,,,,,,
Bistrice II Hydroelectric Power Station Albania,GEODB0042693,5.0,2017,Albania,,GEO,http://globalenergyobservatory.org,39.9116,20.10467,,Hydro,,,,,,,,
Fier Thermal Power Plant Albania (Shutdown),GEODB0042696,186.0,2017,Albania,,GEO,http://globalenergyobservatory.org,40.7009,19.5507,,Oil,,,,,,,,
