NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Aksu Xuzhou power station,SRCWT0000649,400.0,2017,China,Xuzhou Coal Mining Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,41.167,80.263,Coal,,,,,,,,
Anhui Bengbu power station,SRCWT0000001,1200.0,2017,China,China Guodian Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.78444,117.11472,Coal,,,,,,,,
Anhui Hwasu power station,SRCWT0000002,600.0,2017,China,Anhui Hwasu Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.584793,117.253237,Coal,,,,,,,,
Anhui Xuancheng power station,SRCWT0000003,1320.0,2017,China,SDIC Huajing Power Holdings Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,30.86956,118.865,Coal,,,,,,,,
Anwen Songzao power station,SRCWT0000036,300.0,2017,China,Chongqing Energy Investment Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,28.641111,106.753056,Coal,,,,,,,,
Baise City power station,SRCWT0000137,300.0,2017,China,Guangxi Baise Mining Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,23.735,106.915,Coal,,,,,,,,
Baise Smelter power station,SRCWT0000138,700.0,2017,China,Guangxi Baise Mining Group,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,23.736,106.917,Coal,,,,,,,,
Baosteel Zhanjiang power station,SRCWT0000086,700.0,2017,China,Baosteel Zhanjiang I&S Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,21.0698639,110.4940295,Coal,,,,,,,,
Baota power station,SRCWT0000518,700.0,2017,China,Ningxia Baota Petrochemical,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.487,106.23,Coal,,,,,,,,
Baotou Donghua power station,SRCWT0000352,600.0,2017,China,China Huadian Group Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.578889,110.073611,Coal,,,,,,,,
Baotou Hexi power station,SRCWT0000353,1200.0,2017,China,China Huadian Group Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.5701785,109.7897806,Coal,,,,,,,,
Baotou Olefins power station,SRCWT0000354,600.0,2017,China,China Shenhua Energy Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.5937455,109.7811263,Coal,,,,,,,,
Baotou Sanfeng power station,SRCWT0000355,100.0,2017,China,Baotou Sanfeng Rare-Earth Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.642,109.838,Coal,,,,,,,,
