NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
12 Applegate Solar LLC,USA0059371,1.9,2015,United States of America,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.200278,-74.576111,2012.0,Solar,,,,,,,2.43,,
1420 Coil Av #C,USA0057310,1.3,2015,United States of America,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,33.794283,-118.241405,2011.0,Solar,,,,,,,1.5150000000000001,,
145 Talmadge Solar,USA0057458,3.8,2015,United States of America,Avidan Energy Solutions,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.535787,-74.391268,2011.0,Solar,,,,,,,4.8020000000000005,,
1515 S Caron Road,USA0007770,4.2,2015,United States of America,Rochelle Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,41.9084,-89.0466,2000.0,Gas,,,,,,,0.271,,
180 Raritan Solar,USA0058187,1.9,2015,United States of America,180 Raritan Energy Solutions  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.516111,-74.34,2012.0,Solar,,,,,,,2.5260000000000002,,
191 Peachtree Tower,USA0054818,2.4,2015,United States of America,191 Peachtree Associates,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,33.7583,-84.3869,1991.0,Oil,,,,,,,0.0,,
2 AC Station,USA0010211,0.0,2015,United States of America,ArcelorMittal USA Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,41.662778,-87.444444,,,,,,,,,,,
201 Sturbridge B,USA0059822,2.0,2015,United States of America,SE Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,42.109143,-72.171188,2014.0,Solar,,,,,,,2.979,,
205 Sturbridge A,USA0059821,3.0,2015,United States of America,SH Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,42.109272,-72.170507,2014.0,Solar,,,,,,,5.3260000000000005,,
2081 Terzian Solar Project,USA0058918,1.2,2015,United States of America,Pristine Sun LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,36.67,-119.415833,2013.9999999999998,Solar,,,,,,,3.444,,
2097 Helton Solar Project,USA0058920,1.5,2015,United States of America,Pristine Sun LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,37.352222,-120.506944,2014.0,Solar,,,,,,,3.999,,
2127 Harris Solar Project,USA0058919,1.3,2015,United States of America,Pristine Sun LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,39.291667,-121.669722,2014.0000000000002,Solar,,,,,,,2.88,,
24 Applegate Solar LLC,USA0059365,4.9,2015,United States of America,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.205833,-74.579722,2014.0,Solar,,,,,,,1.742,,
2555 E Olympic Bl,USA0057871,1.0,2015,United States of America,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,34.026944,-118.224167,2012.0,Solar,,,,,,,1.235,,
265 Pleasant Solar NG  LLC,USA0059485,1.2,2015,United States of America,NuGen Capital Management,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,42.581389,-71.762222,2013.9999999999998,Solar,,,,,,,1.479,,
4 AC Station,USA0010474,0.0,2015,United States of America,ArcelorMittal USA Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,41.68,-87.426389,,,,,,,,,,,
4 Applegate Solar LLC,USA0059370,1.8,2015,United States of America,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.196389,-74.583611,2012.0,Solar,,,,,,,2.1590000000000003,,
45 Mile Hydroelectric Project,USA0058455,3.0,2015,United States of America,EBD Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,44.528056,-121.152778,2015.0,Hydro,,,,,,,5.561,,
491 E 48th Street,USA0007268,161.7,2015,United States of America,City of Holland,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,42.7553,-86.0853,1996.1311069882502,Oil,Gas,,,,,,8.763,,
4Oaks,USA0059534,5.0,2015,United States of America,ESA Four Oaks NC 1  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,35.4325,-78.411667,2015.0,Solar,,,,,,,3.8360000000000003,,
500 Virginia Solar,USA0057640,1.0,2015,United States of America,500 Virginia Solar  LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.139167,-75.191667,2011.0,Solar,,,,,,,1.103,,
500MW CC,USA0056196,528.0,2015,United States of America,New York Power Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.7889,-73.9069,2006.0,Oil,Gas,,,,,,2891.4330250000003,,
510 REPP One,USA0057363,1.3,2015,United States of America,510 REPP One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,36.4972,-77.6058,2014.0000000000002,Solar,,,,,,,1.929,,
59th Street,USA0002503,17.1,2015,United States of America,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.771285,-73.99115,1969.0,Oil,Gas,,,,,,0.044,,
651 Chase Solar NG,USA0059046,2.5,2015,United States of America,651 Chase Solar NG LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,42.626667,-71.742778,2014.0,Solar,,,,,,,4.226,,
6th St Solar Park of Gainesville FL,USA0057438,1.6,2015,United States of America,6th St Solar Park of Gainesville FL,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,29.7,-82.333333,2011.0000000000002,Solar,,,,,,,2.327,,
74th Street,USA0002504,37.0,2015,United States of America,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,40.768,-73.9515,1968.0,Oil,,,,,,,0.559,,
85 A,USA0052162,14.1,2015,United States of America,AES Wind Generation Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,35.1011,-118.3372,1985.0,Wind,,,,,,,13.347,,
85 B,USA0052163,21.2,2015,United States of America,AES Wind Generation Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,35.1011,-118.3372,1985.0,Wind,,,,,,,17.296,,
99 Islands,USA0003272,18.0,2015,United States of America,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,35.0314,-81.4936,1910.0,Hydro,,,,,,,61.397,,
A B Brown,USA0006137,706.8000000000001,2015,United States of America,Southern Indiana Gas & Elec Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,37.9053,-87.715,1985.9940577249572,Coal,Oil,Gas,,,,,2491.930026,,
A B Paterson,USA0001407,0.0,2015,United States of America,Entergy New Orleans Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,30.015833,-90.025556,,,,,,,,,,,
A G Wishon,USA0000293,12.8,2015,United States of America,Pacific Gas & Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,37.15105,-119.504724,1910.0,Hydro,,,,,,,2.59,,
A L Pierce,USA0006635,84.0,2015,United States of America,Connecticut Mun Elec Engy Coop,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,41.44823,-72.834884,2007.0,Waste,Oil,Gas,,,,,2.323,,
ABBK Biomass Plant,USA0058613,21.9,2015,United States of America,Abengoa Bioenergy Biomass of Kansas,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,37.180833,-101.386667,2014.0,Other,Waste,Gas,Biomass,,,,0.164,,
ABC Coke,USA0056076,3.8,2015,United States of America,Drummond Company  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,33.582793,-86.779866,1997.0,Gas,,,,,,,2.07,,
ABEC Bidart-Old River LLC,USA0058699,2.0,2015,United States of America,ABEC Bidart-Old River LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,35.169722,-119.105556,2014.0,Biomass,,,,,,,10.198,,
