NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Bistrica 1,1002169,27.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1965.0,Hydro,,,,,,,,
Fierza,1002170,500.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1978.0,Hydro,,,,,,,,
Koman,1002171,600.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1985.0,Hydro,,,,,,,,
Lanabregas,1002172,5.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1951.0,Hydro,,,,,,,,
Shkopet,1002173,24.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1963.0,Hydro,,,,,,,,
Ulez,1002174,25.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1958.0,Hydro,,,,,,,,
Vau i Dijes,1002175,250.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,1971.0,Hydro,,,,,,,,
Vlora,1002176,98.0,,Albania,,Energy Charter Secretariat,http://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf,,,,Other,,,,,,,,
Ahmer el Ain Mobile Gas Turbine,1023811,72.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Ain Djasser,1023776,520.0,,Algeria,SociÃ©te AlgÃ©rienne de Production de l\'ElectricitÃ©,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.86655,6.026241,,Gas,,,,,,,,
Alger Port,1023806,71.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2010.0,Gas,,,,,,,,
Amizour Mobile Gas Turbine,1023808,136.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2013.0,Gas,,,,,,,,
Annaba,1023795,71.0,,Algeria,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.89237,7.76336,2010.0,Gas,,,,,,,,
Arbaa,1023777,560.0,,Algeria,Sonelgaz,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.5988,3.1375,2010.0,Gas,,,,,,,,
Baraki Mobile Gas Turbine,1023810,72.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Beni Merad Mobile Gas Turbine,1023813,34.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Boufarik 1,1023792,100.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.5914,2.9223,1980.0,Gas,,,,,,,,
Boufarik 2,1023793,450.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.59599,2.878009,2016.0,Gas,,,,,,,,
Boufarik Mobile Gas Turbine,1023794,48.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2015.0,Gas,,,,,,,,
Boutelilis,1023781,450.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.5658,-0.93858,2016.0,Gas,,,,,,,,
Darguinah,1023800,65.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,1952.0,Hydro,,,,,,,,
El Oued Mobile Gas Turbine,1023807,136.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2013.0,Gas,,,,,,,,
Erraguene,1023801,14.4,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,1962.0,Hydro,,,,,,,,
F'Krina,1023785,292.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.7666,7.3619,,Gas,,,,,,,,
Fkrina Mobile Gas Turbine,1023809,144.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Hadjret Ennous,1023768,1200.0,,Algeria,Sharikat Kahraba Hadjret En-Nouss,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.5767,2.0797,2009.0,Gas,,,,,,,,
Hamma 2,1023783,418.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.7489,3.08229,,Gas,,,,,,,,
Hamma Mobile Gas Turbine,1023812,48.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Hassi Messaoud Mobile,1023796,72.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.670321,6.053141,2013.0,Gas,,,,,,,,
Hassi Messoud,1023779,600.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.670321,6.053141,2015.0,Gas,,,,,,,,
Hassi Messoud Nord 2,1023790,200.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.7877,6.0517,1988.0,Gas,,,,,,,,
Hassi Messoud Ouest,1023799,492.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,31.80652,5.992378,,Gas,,,,,,,,
Hassi R'Mel,1023804,88.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,1979.0,Gas,,,,,,,,
Ighil Emda,1023798,24.0,,Algeria,SAFEAGE,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.4739,5.2719,1952.0,Hydro,,,,,,,,
Jijel,1023775,588.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.8139,5.876,,Gas,,,,,,,,
Kahrama IPP,1023784,345.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.80639,-0.2476,,Gas,,,,,,,,
Koudiet Eddraouch,1023769,1200.0,,Algeria,Shariket Karhaba Koudiet Eddraouch SpA (SKD),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.885,8.0778,2013.0,Gas,,,,,,,,
Labreg,1023815,396.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,34.50557,6.98476,2015.0,Gas,,,,,,,,
Mansouriah,1023802,65.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,1952.0,Hydro,,,,,,,,
Marsat,1023772,840.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.8,-0.1924,,Gas,,,,,,,,
Marsat TG,1023789,184.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.8,-0.1924,,Gas,,,,,,,,
Msila 1,1023773,980.0,,Algeria,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.70714,4.480437,,Gas,,,,,,,,
Naama TG,1023803,184.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,,Gas,,,,,,,,
Oran Est,1023805,75.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2007.0,Gas,,,,,,,,
Ouagla Mobile Gas Turbine,1023814,68.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,,,2014.0,Gas,,,,,,,,
Ras Djinet,1023774,672.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.8509,3.6983,,Gas,,,,,,,,
Ravin Blanc,1023791,73.0,,Algeria,,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.7095,-0.6319,1974.0,Gas,,,,,,,,
Relizane,1023780,465.0,,Algeria,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,35.7835,0.54067,2010.0,Gas,,,,,,,,
SKB IPP,1023778,484.0,,Algeria,Sonelgaz Production de l'Electricite,Arab Union of Electricity,http://www.auptde.org/NewsDetails.aspx?lang=en&NID=283,36.1399,2.9296,2007.0,Gas,,,,,,,,
