idval,latitude,longitude,pw_country,google_country
WRI1019193,38.83091475,-9.168450236,Czech Republic,Portugal
WRI1019197,41.538161,-6.9611,Czech Republic,Portugal
WRI1019196,41.538161,-6.9611,Czech Republic,Portugal
WRI1005990,46.96845,10.05986,Germany,Austria
WRI1029810,49.4826,17.13449,Czech Republic,unknown
WRI1005410,38.0211,-87.5172,Netherlands,United States
WRI1002297,55.486,7.84,Denmark,unknown
WRI1019254,40.983828,-7.617653,Czech Republic,Portugal
WRI1019255,41.640357,-7.945794,Czech Republic,Portugal
WRI1019256,41.640357,-7.945794,Czech Republic,Portugal
WRI1019251,37.083172,-8.911438,Czech Republic,Portugal
WRI1019252,40.803045,-8.155832,Czech Republic,Portugal
WRI1001659,33.1373,73.6416,Pakistan,unknown
WRI1001387,32.4403939971,75.7304763794,India,unknown
WRI1001385,27.3426,93.8168,India,unknown
WRI1019192,41.097407,-7.809907,Czech Republic,Portugal
WRI1005914,47.269606,10.967829,Germany,Austria
WRI1005913,47.56990573,7.810113464,Germany,Switzerland
WRI1005910,47.207784,11.005735,Germany,Austria
USA0006128,29.449827,-101.06011,United States of America,Mexico
GBR0002512,53.1353185994,1.14792181838,United Kingdom,unknown
WRI1001493,34.0921,74.03182,India,unknown
WRI1001491,34.19799895,75.12447166,India,unknown
WRI1001078,33.18151,75.31546,India,unknown
WRI1004269,47.655,7.52,Switzerland,France
