Plant Code,Plant Name,Owner,NERC Region,Latitude,Longitude,Weighted Year.Month,Primary Fuel,Total Capacity (MW),Net Generation (MWh)
2,Bankhead Dam,Alabama Power Co,SERC,33.458665,-87.356823,1964,Hydro,53.9,47391
3,Barry,Alabama Power Co,SERC,31.0069,-88.0103,1980,Coal,2841.5,12981029
4,Walter Bouldin Dam,Alabama Power Co,SERC,32.583889,-86.283056,1968,Hydro,225,590121
7,Gadsden,Alabama Power Co,SERC,34.0128,-85.9708,1950,Coal,138,216750
8,Gorgas,Alabama Power Co,SERC,33.644344,-87.196486,1966,Coal,1416.7,5247433
9,Copper,El Paso Electric Co,WECC,31.7569,-106.375,1981,Gas,80.5,39856
10,Greene County,Alabama Power Co,SERC,32.6017,-87.7811,1983,Coal,1288.4,2857924
11,H Neely Henry Dam,Alabama Power Co,SERC,33.7845,-86.0524,1967,Hydro,72.9,198568
12,Holt Dam,Alabama Power Co,SERC,33.2553,-87.4495,1969,Hydro,46.9,72223
13,Jordan Dam,Alabama Power Co,SERC,32.6189,-86.2548,1930,Hydro,100,294067
14,Logan Martin Dam,Alabama Power Co,SERC,33.425878,-86.337547,1965,Hydro,128.1,346035
15,Lay Dam,Alabama Power Co,SERC,32.9633,-86.5187,1968,Hydro,177,561938
16,Martin Dam,Alabama Power Co,SERC,32.680394,-85.911442,1935,Hydro,210.6,348048
17,Mitchell Dam,Alabama Power Co,SERC,32.806025,-86.444892,1982,Hydro,170,466344
18,Lewis Smith Dam,Alabama Power Co,SERC,33.9406,-87.1077,1963,Hydro,181,243605
19,Thurlow Dam,Alabama Power Co,SERC,32.535436,-85.887614,1932,Hydro,91,228345
20,Weiss Dam,Alabama Power Co,SERC,34.172142,-85.753806,1962,Hydro,87.6,209892
21,Yates Dam,Alabama Power Co,SERC,32.5743,-85.8901,1929,Hydro,50.5,138401
26,E C Gaston,Alabama Power Co,SERC,33.244211,-86.458056,1968,Coal,2034,6432761
30,Madelia,City of Madelia - (MN),MRO,44.0525,-94.4153,1977,Gas,11.8,-140
34,Rollins,Nevada Irrigation District,WECC,39.134259,-120.953341,1981,Hydro,12.1,27008
38,Millers Ferry,USCE-Mobile District,SERC,32.100881,-87.399767,1971,Hydro,101.1,356205
46,Browns Ferry,Tennessee Valley Authority,SERC,34.7042,-87.1189,1976,Nuclear,3494,26738300
47,Colbert,Tennessee Valley Authority,SERC,34.7439,-87.8486,1964,Coal,1826,3594781
48,Guntersville,Tennessee Valley Authority,SERC,34.421272,-86.393931,1943,Hydro,115.2,713367
49,Wheeler Dam,Tennessee Valley Authority,SERC,34.8069,-87.3819,1951,Hydro,404,1247298
50,Widows Creek,Tennessee Valley Authority,SERC,34.883022,-85.755253,1964,Coal,1125,3705848
51,Dolet Hills,Cleco Power LLC,SPP,32.030556,-93.569167,1987,Coal,720.7,2899537
53,Gantt,PowerSouth Energy Cooperative,SERC,31.4033,-86.479469,1962,Hydro,3,6932
54,J K Smith,"East Kentucky Power Coop, Inc",SERC,37.8833,-84.1017,2003,Gas,1055,472049
55,Point A,PowerSouth Energy Cooperative,SERC,31.361146,-86.518307,1935,Hydro,5.2,7764
56,Charles R Lowman,PowerSouth Energy Cooperative,SERC,31.488019,-87.910747,1979,Coal,538,1876861
59,Platte,City of Grand Island - (NE),MRO,40.854765,-98.348222,1983,Coal,109.8,517873
60,Whelan Energy Center,City of Hastings - (NE),MRO,40.580872,-98.312437,2005,Coal,324.3,1673671
62,Annex Creek,Alaska Electric Light&Power Co,ASCC,58.3176,-134.101,1917,Hydro,4,27380
63,Gold Creek,Alaska Electric Light&Power Co,ASCC,58.3107,-134.4174,1957,Oil,9.7,5652
64,Lemon Creek,Alaska Electric Light&Power Co,ASCC,58.3536,-134.4953,1982,Oil,61.7,181
65,Salmon Creek 1,Alaska Electric Light&Power Co,ASCC,58.3269,-134.4631,1985,Hydro,8.5,22116
66,Skagway,Alaska Power and Telephone Co,N/A,59.4545,-135.3131,1992,Oil,4.4,3002
69,Haines,Alaska Power and Telephone Co,ASCC,59.2358,-135.445,1993,Oil,6.2,-122
70,Swan Lake,Ketchikan Public Utilities,ASCC,55.613892,-131.35417,1985,Hydro,22.4,66187
71,Terror Lake,Kodiak Electric Assn Inc,ASCC,57.6861,-152.895,1995,Hydro,33.6,134031
72,Venice Hydro,Metropolitan Water District of S CA,WECC,34.01135,-118.4168,1983,Hydro,10.1,0
75,Anchorage 1,Anchorage Municipal Light and Power,ASCC,61.2221,-149.8661,1988,Gas,102.9,33642
77,Eklutna Hydro Project,Anchorage Municipal Light and Power,ASCC,61.475211,-149.15009,1956,Hydro,44.4,83110
78,Snettisham,Alaska Electric Light&Power Co,ASCC,58.1415,-133.737,1981,Hydro,78.2,285599
79,Aurora Energy LLC Chena,Aurora Energy LLC,ASCC,64.847743,-147.735063,1970,Coal,27.5,191062
84,Ketchikan,Ketchikan Public Utilities,ASCC,55.344641,-131.633425,1949,Hydro,4.2,24429
85,S W Bailey,Ketchikan Public Utilities,ASCC,55.3633,-131.6778,1984,Oil,25.9,-262902
87,Escalante,"Tri-State G & T Assn, Inc",WECC,35.4159,-108.082,1985,Coal,257,1389687
88,Ashokan,New York Power Authority,NPCC,41.949,-74.2063,1983,Hydro,4.6,7924
90,Snake River,Nome Joint Utility Systems,ASCC,64.505924,-165.429384,2006,Oil,20.2,30342
91,Petersburg,Petersburg Borough - (AK),ASCC,56.81104,-132.957091,1987,Oil,14.8,13840
92,Seward (AK),City of Seward - (AK),ASCC,60.1083,-149.4417,1996,Oil,15.6,49
93,Riley#03a,City & Borough of Sitka - (AK),ASCC,57.0516,-135.2297,2015,Hydro,15.9,40707
95,Wrangell,City of Wrangell - (AK),ASCC,56.4522,-132.3683,1998,Oil,8.5,673
96,Beluga,Chugach Electric Assn Inc,ASCC,61.1861,-151.0356,1977,Gas,374.4,1216481
99,Frederickson,Puget Sound Energy Inc,WECC,47.079722,-122.365,1982,Gas,177.8,14220
100,South Consolidated,Salt River Project,WECC,33.466477,-111.781064,1982,Hydro,1.4,0
104,J S Eastwood,Southern California Edison Co,WECC,37.147926,-119.2567,1988,Hydro,199.8,78290
108,Holcomb,Sunflower Electric Power Corp,SPP,37.9308,-100.9725,1984,Coal,348.7,1981862
109,Dillingham,"Nushagak Electric Coop, Inc",ASCC,59.6708,-157.89,2004,Oil,6.6,18459
113,Cholla,Arizona Public Service Co,WECC,34.9394,-110.3033,1979,Coal,1128.8,6630105
114,Douglas,Arizona Public Service Co,WECC,31.364122,-109.5538,1973,Oil,26.1,289
116,Ocotillo,Arizona Public Service Co,WECC,33.4225,-111.9122,1965,Gas,334.6,76289
117,West Phoenix,Arizona Public Service Co,WECC,33.4417,-112.1583,1992,Gas,1207.4,1605461
118,Saguaro,Arizona Public Service Co,WECC,32.5517,-111.3,1986,Gas,184.5,10972
120,Yucca,Arizona Public Service Co,WECC,32.7214,-114.7106,1981,Gas,425,347466
124,Demoss Petrie,Tucson Electric Power Co,WECC,32.252273,-110.992148,2002,Gas,85,5566
126,H Wilson Sundt Generating Station,Tucson Electric Power Co,WECC,32.16,-110.9047,1965,Coal,558.5,842819
127,Oklaunion,Public Service Co of Oklahoma,TRE,34.0825,-99.1753,1987,Coal,720,3216641
130,Cross,South Carolina Public Service Authority,SERC,33.371389,-80.113333,2000,Coal,2390.1,11892580
136,Seminole (FL),Seminole Electric Cooperative Inc,FRCC,29.733056,-81.632778,1985,Coal,1471.8,8210875
141,Agua Fria,Salt River Project,WECC,33.5561,-112.2153,1965,Gas,613.7,12617
143,Crosscut,Salt River Project,WECC,33.439375,-111.946052,1944,Gas,33,0
145,Horse Mesa,Salt River Project,WECC,33.5907,-111.344,1963,Hydro,129.5,15396
147,Kyrene,Salt River Project,WECC,33.3556,-111.9353,1985,Gas,573.7,702189
148,Mormon Flat,Salt River Project,WECC,33.5536,-111.4431,1965,Hydro,63.5,5195
149,Roosevelt,Salt River Project,WECC,33.671104,-111.161786,1974,Hydro,36,37940
150,Stewart Mountain,Salt River Project,WECC,33.5661,-111.536,1931,Hydro,13,18341
151,McClure,Modesto Irrigation District,WECC,37.62936,-120.93139,1982,Oil,142.4,3400
152,Davis Dam,U S Bureau of Reclamation,WECC,35.197044,-114.570669,1952,Hydro,254.8,1162920
153,Glen Canyon Dam,U S Bureau of Reclamation,WECC,36.936614,-111.483872,1966,Hydro,1312,3344619
154,Hoover Dam (NV),U S Bureau of Reclamation,WECC,36.01551,-114.738006,1942,Hydro,1039.4,2352308
159,Lake Creek Dam,Heber Light & Power Company,WECC,40.493631,-111.312506,1982,Hydro,1.5,3744
160,Apache Station,Arizona Electric Pwr Coop Inc,WECC,32.0603,-109.8931,1979,Coal,660.7,2638027
161,Turlock Lake,Turlock Irrigation District,WECC,37.611461,-120.594678,1981,Hydro,3.3,-59
162,Hickman,Turlock Irrigation District,WECC,37.621536,-120.746247,1980,Hydro,1,2857
165,GREC,Grand River Dam Authority,SPP,36.190278,-95.2894,1984,Coal,1134,4674600
166,Carpenter,Entergy Arkansas Inc,SERC,34.4425,-93.0262,1933,Hydro,56,106981
170,Lake Catherine,Entergy Arkansas Inc,SERC,34.4341,-92.9049,1971,Gas,552.5,90653
171,Mabelvale,Entergy Arkansas Inc,SERC,34.635997,-92.409602,1971,Gas,39,397
172,Osceola (AR),City of Osceola - (AR),SPP,35.6975,-90.0053,1998,Oil,4.8,0
174,Remmel,Entergy Arkansas Inc,SERC,34.4272,-92.8941,1926,Hydro,9,35577
180,Volta 2,Pacific Gas & Electric Co,WECC,40.45193,-121.86215,1982,Hydro,1,3363
182,Beaver Dam,USCE-Little Rock District,SPP,36.421507,-93.847373,1966,Hydro,112,126245
187,Degray,USCE -Vickburg District,SERC,34.211913,-93.110963,1973,Hydro,68,75645
188,Greers Ferry Lake,USCE-Little Rock District,SPP,35.5207,-91.9953,1965,Hydro,96,149328
193,Municipal Light,City of Piggott - (AR),SPP,36.3858,-90.1867,1965,Oil,7.2,0
195,Narrows (AR),USCE -Vickburg District,SERC,34.148427,-93.715168,1957,Hydro,25.5,38533
196,Norfork,USCE-Little Rock District,SPP,36.2491,-92.2401,1948,Hydro,80.4,135669
197,Blakely Mountain,USCE -Vickburg District,SERC,34.570984,-93.194425,1956,Hydro,75,168451
198,Bull Shoals,USCE-Little Rock District,SPP,36.3635,-92.5763,1959,Hydro,340,513677
199,Dardanelle,USCE-Little Rock District,SPP,35.2503,-93.1686,1966,Hydro,160.8,484586
201,Thomas Fitzhugh,Arkansas Electric Coop Corp,SPP,35.462382,-93.804926,1991,Gas,185,26085
202,Carl Bailey,Arkansas Electric Coop Corp,SERC,35.260102,-91.363426,1967,Gas,120,3132
203,McClellan (AR),Arkansas Electric Coop Corp,SERC,33.5648,-92.7917,1973,Gas,136,117552
204,Clinton Power Station,Exelon Nuclear,SERC,40.1719,-88.8339,1988,Nuclear,1138.3,9071711
207,St Johns River Power Park,JEA,FRCC,30.4308,-81.5508,1988,Coal,1358,7144487
210,Wolf Creek Generating Station,Wolf Creek Nuclear Optg Corp,SPP,38.23926,-95.68978,1986,Nuclear,1267.7,8558384
214,Alta Powerhouse,Pacific Gas & Electric Co,WECC,39.215979,-120.80355,1903,Hydro,1,3545
215,Angels,Utica Water & Power Authority,WECC,38.071944,-120.539444,1941,Hydro,1.4,4285
217,Balch 1,Pacific Gas & Electric Co,WECC,36.909137,-119.087712,1928,Hydro,31,44325
218,Balch 2,Pacific Gas & Electric Co,WECC,36.908907,-119.087556,1959,Hydro,97.2,158988
219,Belden,Pacific Gas & Electric Co,WECC,40.007445,-121.249438,1970,Hydro,117.9,161634
220,Bucks Creek,Pacific Gas & Electric Co,WECC,39.91062,-121.327692,1929,Hydro,66,70387
221,Butt Valley,Pacific Gas & Electric Co,WECC,40.175656,-121.190663,1959,Hydro,40,88042
222,Caribou 1,Pacific Gas & Electric Co,WECC,40.085476,-121.148241,1923,Hydro,73.8,71782
223,Caribou 2,Pacific Gas & Electric Co,WECC,40.085997,-121.149373,1959,Hydro,117.9,289603
224,Centerville PH,Pacific Gas & Electric Co,WECC,39.788877,-121.657383,1901,Hydro,6.4,0
225,Chili Bar,Pacific Gas & Electric Co,WECC,38.771764,-120.813239,1966,Hydro,7,1702
227,Coleman PH,Pacific Gas & Electric Co,WECC,40.404645,-122.121904,1980,Hydro,12.1,35544
229,Cow Creek,Pacific Gas & Electric Co,WECC,40.570817,-122.02093,1908,Hydro,1.4,4082
231,Cresta,Pacific Gas & Electric Co,WECC,39.825907,-121.409687,1950,Hydro,73.8,148108
232,De Sabla,Pacific Gas & Electric Co,WECC,39.869265,-121.631819,1964,Hydro,18.4,43650
233,Deer Creek PH,Pacific Gas & Electric Co,WECC,39.29807,-120.8443,1909,Hydro,5.5,17756
235,Drum 1,Pacific Gas & Electric Co,WECC,39.256873,-120.767437,1920,Hydro,49.2,19894
236,Drum 2,Pacific Gas & Electric Co,WECC,39.257388,-120.767046,1966,Hydro,53.1,170814
237,Dutch Flat,Pacific Gas & Electric Co,WECC,39.216985,-120.835587,1944,Hydro,22,60196
238,El Dorado,El Dorado Irrigation District,WECC,38.793574,-120.619152,1925,Hydro,20,44779
239,Electra,Pacific Gas & Electric Co,WECC,38.330985,-120.669901,1949,Hydro,102.5,220266
240,Haas,Pacific Gas & Electric Co,WECC,36.927424,-119.02025,1959,Hydro,135,138226
241,Halsey,Pacific Gas & Electric Co,WECC,38.956985,-121.041932,1917,Hydro,13.6,24258
